Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2000,3,30,00:00,UTC,0,88,3.9,6.8,1.7
2000,3,31,00:00,UTC,3.3,84,-4.3,2,-8.1
2000,4,1,00:00,UTC,8,88,-8.8,-5.7,-10.1
2000,4,2,00:00,UTC,-1,94,-7.5,-6.4,-9.6
2000,4,3,00:00,UTC,1.2,90,-14.4,-5.6,-26.6
2000,4,4,00:00,UTC,19.7,91,-6.2,-2.1,-15.8
2000,4,5,00:00,UTC,7.3,110,-0.4,0.4,-2.3
2000,4,6,00:00,UTC,1.2,117,-3.9,0.4,-7.7
2000,4,7,00:00,UTC,-1,115,-3.2,0.5,-7.2
2000,4,8,00:00,UTC,-1,113,-3.8,4,-16.6
2000,4,9,00:00,UTC,1.1,110,0.5,4.7,-3.6
2000,4,10,00:00,UTC,0.4,106,2,5.9,-0.3
2000,4,11,00:00,UTC,2.4,104,0.4,5.7,-7.6
2000,4,12,00:00,UTC,5.7,104,0.1,3.4,-1.5
2000,4,13,00:00,UTC,4.7,108,-0.4,1.5,-4.1
2000,4,14,00:00,UTC,1.1,105,0.4,1.8,-0.4
2000,4,15,00:00,UTC,0.1,103,-0.3,1.2,-1.3
2000,4,16,00:00,UTC,-1,102,-1.8,1.2,-3.7
2000,4,17,00:00,UTC,3.3,101,1.2,6,-6.2
2000,4,18,00:00,UTC,1,96,2.2,4.4,0.7
2000,4,19,00:00,UTC,-1,89,2,2.9,1.4
2000,4,20,00:00,UTC,0.7,86,0.6,2.9,-1.6
2000,4,21,00:00,UTC,0.8,86,2.1,5.9,-1.7
2000,4,22,00:00,UTC,3.5,81,2.3,5.7,-0.3
2000,4,23,00:00,UTC,5.8,79,-0.7,3.6,-4.6
2000,4,24,00:00,UTC,0.7,78,1.5,2.6,0.4
2000,4,25,00:00,UTC,15,78,-0.2,2.8,-1.2
2000,4,26,00:00,UTC,1.3,88,-1.6,0.5,-4.1
2000,4,27,00:00,UTC,-1,82,-3.2,3.2,-12.6
2000,4,28,00:00,UTC,0.7,80,-0.1,3.2,-7
2000,4,29,00:00,UTC,0,79,-0.1,3.4,-1.1
2000,4,30,00:00,UTC,-1,77,-3.5,0.9,-8.5
2000,5,1,00:00,UTC,-1,77,-1.2,3.4,-8.7
2000,5,2,00:00,UTC,0.3,77,2.2,5.8,-2.1
2000,5,3,00:00,UTC,-1,74,1.9,6.8,1
2000,5,4,00:00,UTC,0.7,69,0.5,4,-2.1
2000,5,5,00:00,UTC,1.1,68,1.9,4.8,-0.1
2000,5,6,00:00,UTC,-1,66,-0.4,2.5,-1.2
2000,5,7,00:00,UTC,1.2,65,1.5,5.3,-3.1
2000,5,8,00:00,UTC,-1,64,2.3,4.4,1.4
2000,5,9,00:00,UTC,3,60,5.6,9.9,0.9
2000,5,10,00:00,UTC,-1,51,4,9.9,2.8
2000,5,11,00:00,UTC,0,47,0,4.7,-2.1
2000,5,12,00:00,UTC,0,47,-2.8,-0.5,-5.1
2000,5,13,00:00,UTC,0,47,-2,0.8,-7.1
2000,5,14,00:00,UTC,1.3,47,-1.1,2.3,-4.4
2000,5,15,00:00,UTC,0,47,-0.6,2.4,-2.1
2000,5,16,00:00,UTC,0.1,47,-0.3,3.9,-5.6
2000,5,17,00:00,UTC,0,45,0.6,3.8,-1.2
2000,5,18,00:00,UTC,-1,44,5.4,10.2,1
2000,5,19,00:00,UTC,-1,32,10.2,16.9,5.2
2000,5,20,00:00,UTC,-1,12,14.4,19.3,8.5
2000,5,21,00:00,UTC,-1,0,13.5,17.9,8.6
2000,5,22,00:00,UTC,0,0,6.5,16.4,2.4
2000,5,23,00:00,UTC,0.8,0,6,13.9,1.4
2000,5,24,00:00,UTC,4.1,0,7,9.8,2.9
2000,5,25,00:00,UTC,5,-1,9.5,15.3,4
2000,5,26,00:00,UTC,9.9,-1,9.5,13.9,7.9
2000,5,27,00:00,UTC,0,-1,3.5,7.9,1.4
2000,5,28,00:00,UTC,3.1,-1,5.1,10,1.2
2000,5,29,00:00,UTC,0.4,-1,12.6,17.2,6.5
2000,5,30,00:00,UTC,1.5,-1,11.1,14.4,9.9
2000,5,31,00:00,UTC,0.5,-1,10.7,15.9,4.3
2000,6,1,00:00,UTC,0.5,-1,8.6,13,4.4
2000,6,2,00:00,UTC,0,-1,10.1,15.3,5.5
2000,6,3,00:00,UTC,1.2,-1,10.2,16.2,4.8
2000,6,4,00:00,UTC,3.4,-1,8.1,10.4,7.5
2000,6,5,00:00,UTC,0,-1,7.2,12.2,5.5
2000,6,6,00:00,UTC,-1,-1,7.6,10.9,3.9
2000,6,7,00:00,UTC,0.4,-1,8,14.2,0.5
